"","geo_type","region","transportation_type","alternative_name","sub.region","country","X2020.01.13","X2020.01.14","X2020.01.15","X2020.01.16","X2020.01.17","X2020.01.18","X2020.01.19","X2020.01.20","X2020.01.21","X2020.01.22","X2020.01.23","X2020.01.24","X2020.01.25","X2020.01.26","X2020.01.27","X2020.01.28","X2020.01.29","X2020.01.30","X2020.01.31","X2020.02.01","X2020.02.02","X2020.02.03","X2020.02.04","X2020.02.05","X2020.02.06","X2020.02.07","X2020.02.08","X2020.02.09","X2020.02.10","X2020.02.11","X2020.02.12","X2020.02.13","X2020.02.14","X2020.02.15","X2020.02.16","X2020.02.17","X2020.02.18","X2020.02.19","X2020.02.20","X2020.02.21","X2020.02.22","X2020.02.23","X2020.02.24","X2020.02.25","X2020.02.26","X2020.02.27","X2020.02.28","X2020.02.29","X2020.03.01","X2020.03.02","X2020.03.03","X2020.03.04","X2020.03.05","X2020.03.06","X2020.03.07","X2020.03.08","X2020.03.09","X2020.03.10","X2020.03.11","X2020.03.12","X2020.03.13","X2020.03.14","X2020.03.15","X2020.03.16","X2020.03.17","X2020.03.18","X2020.03.19","X2020.03.20","X2020.03.21","X2020.03.22","X2020.03.23","X2020.03.24","X2020.03.25","X2020.03.26","X2020.03.27","X2020.03.28","X2020.03.29","X2020.03.30","X2020.03.31","X2020.04.01","X2020.04.02","X2020.04.03","X2020.04.04","X2020.04.05","X2020.04.06","X2020.04.07","X2020.04.08","X2020.04.09","X2020.04.10","X2020.04.11","X2020.04.12","X2020.04.13","X2020.04.14","X2020.04.15","X2020.04.16","X2020.04.17","X2020.04.18","X2020.04.19","X2020.04.20","X2020.04.21","X2020.04.22","X2020.04.23","X2020.04.24","X2020.04.25","X2020.04.26","X2020.04.27","X2020.04.28","X2020.04.29","X2020.04.30","X2020.05.01","X2020.05.02","X2020.05.03","X2020.05.04","X2020.05.05","X2020.05.06","X2020.05.07","X2020.05.08","X2020.05.09","X2020.05.10","X2020.05.11","X2020.05.12","X2020.05.13","X2020.05.14","X2020.05.15","X2020.05.16","X2020.05.17","X2020.05.18","X2020.05.19","X2020.05.20","X2020.05.21","X2020.05.22","X2020.05.23","X2020.05.24","X2020.05.25","X2020.05.26","X2020.05.27","X2020.05.28","X2020.05.29","X2020.05.30","X2020.05.31","X2020.06.01","X2020.06.02","X2020.06.03","X2020.06.04","X2020.06.05","X2020.06.06","X2020.06.07","X2020.06.08","X2020.06.09","X2020.06.10","X2020.06.11","X2020.06.12","X2020.06.13","X2020.06.14","X2020.06.15","X2020.06.16","X2020.06.17","X2020.06.18","X2020.06.19","X2020.06.20","X2020.06.21","X2020.06.22","X2020.06.23","X2020.06.24","X2020.06.25","X2020.06.26","X2020.06.27","X2020.06.28","X2020.06.29","X2020.06.30","X2020.07.01","X2020.07.02","X2020.07.03","X2020.07.04","X2020.07.05","X2020.07.06","X2020.07.07","X2020.07.08","X2020.07.09","X2020.07.10","X2020.07.11","X2020.07.12","X2020.07.13","X2020.07.14","X2020.07.15","X2020.07.16","X2020.07.17","X2020.07.18","X2020.07.19","X2020.07.20","X2020.07.21","X2020.07.22","X2020.07.23","X2020.07.24","X2020.07.25","X2020.07.26","X2020.07.27","X2020.07.28","X2020.07.29","X2020.07.30","X2020.07.31","X2020.08.01","X2020.08.02","X2020.08.03","X2020.08.04","X2020.08.05","X2020.08.06","X2020.08.07","X2020.08.08","X2020.08.09","X2020.08.10","X2020.08.11","X2020.08.12","X2020.08.13","X2020.08.14","X2020.08.15","X2020.08.16","X2020.08.17","X2020.08.18","X2020.08.19","X2020.08.20","X2020.08.21","X2020.08.22","X2020.08.23","X2020.08.24","X2020.08.25","X2020.08.26","X2020.08.27","X2020.08.28","X2020.08.29","X2020.08.30","X2020.08.31","X2020.09.01","X2020.09.02","X2020.09.03","X2020.09.04","X2020.09.05","X2020.09.06","X2020.09.07","X2020.09.08","X2020.09.09","X2020.09.10","X2020.09.11","X2020.09.12","X2020.09.13","X2020.09.14","X2020.09.15","X2020.09.16","X2020.09.17"
"592","city","Minneapolis","driving","","Minnesota","United States",100,100.25,95.44,102.68,85.63,85.24,76.13,94.45,97.05,100.66,108.58,116.85,115.19,81.4,88.38,92.13,92.98,98.67,112.39,113.28,75.49,87.18,92.97,95.1,100.81,113.2,112.32,73.67,93.55,98.59,97.23,99.98,123.4,120.21,89.14,98.85,112.67,99.47,104.06,123.31,122.88,87.26,94.82,98.77,100.85,105.89,124.63,122.8,88.25,94.36,103.05,100.62,106.05,125.1,123.47,89.08,92.05,97.42,98.76,94.89,101.45,87.41,62.15,68,63.16,55.74,52.69,59.66,48.91,38.6,48.96,49.2,48.01,54.58,59.55,34.48,30.94,46.18,48.46,48.2,47.61,50.31,50.78,43.94,48.87,52.89,50.96,50.87,61.06,57.34,27.56,48.67,50.49,55.54,57.93,67.86,66.78,52.79,59.22,60.36,67.51,66.66,73.56,70.32,55.32,66.87,58.48,69.51,76.33,84.33,78.41,64.28,72.75,74.53,78.16,78.12,89.49,77.79,58.77,NA,NA,78.21,88.84,103.9,83.38,61.2,90.6,97.61,102.24,101.64,111.77,88.45,76.03,76.65,95.86,108.8,122.49,118.54,104.41,92.82,114.89,106.61,115.35,117.75,132.77,111.19,96.06,116.26,110.43,119.03,128.04,138.46,119.14,101.09,118.79,125.89,128.43,122.03,144.71,123.05,92.67,120.98,130.51,134.55,138.3,147.09,131.18,102.99,118.93,132.85,135.53,136.64,118.99,90.2,90.18,118.63,129.72,132.61,133.83,150.33,127.42,112.7,129.41,125.67,138.4,142.35,150.4,128.65,113.7,128.08,129.44,144.05,144.08,153.08,134.88,112.28,130.78,133.84,138.89,143.35,152.16,139.83,115.86,131.23,135.44,135.59,141.41,152.85,138.74,114.11,129.76,136.76,128.73,142.39,149.6,147.55,121.41,131.58,133.58,135.72,140.36,152.08,136.94,114.21,123.98,129.68,133.77,133.46,146.26,133.19,109.05,122.47,131.12,134.85,136.95,146.71,127.67,107.51,97.48,118.34,120.18,130.35,144.14,139.5,110.66,118.55,123.09,125.59,128.59
"593","city","Minneapolis","transit","","Minnesota","United States",100,97.62,91.25,90.3,83.78,70.92,68,89.64,108.28,105.33,106.57,104.04,88.32,69.18,94.94,95.26,94.73,97.08,99.55,89.36,68.85,95.09,98.58,96.2,98.4,103.51,83.93,70.46,97.52,99.86,96.75,88.74,101.7,89.93,71.26,92.53,100.23,94.79,96.55,105.97,93.9,74.83,98.29,100.06,98.1,96.5,105.07,87.33,74.54,97.95,98.86,97.08,98.67,107.19,91.88,75.08,88.14,93.44,88.45,81.48,80.04,64.77,53.9,55.03,49.49,41.09,35.82,37.27,33.04,27.03,34.73,32.33,32.71,35.77,33.52,23.62,23.45,33.02,32.43,31.23,29.64,26.23,28.23,26.73,31.63,32.61,29.81,26.9,30.7,28.32,19,28.38,27.63,27.85,28.91,29.04,29.79,26.2,29.61,30.17,33.49,31.44,32.05,33.04,27.89,35.42,28.61,33.24,33.52,34.46,33.98,32.31,34.55,35.09,35.84,33.64,33.38,29.18,25.89,NA,NA,31.54,35.04,39.21,30.7,25.51,38.07,39.73,40.06,37.04,38.12,33.65,33.82,37.63,42.11,45.03,43.47,28.1,22.39,24.29,27.73,28.47,42.59,41.11,45.37,41.58,39.05,47.02,43.24,46.63,54.02,51.34,46.42,41.8,50.6,53.13,52.58,45.73,54.05,47.1,38.85,52.17,52.63,53.02,52.5,55.3,51.28,46.37,48.55,52.37,52.7,54.44,50.41,42.41,42.18,52.82,56.8,57,55.02,59.37,51.45,49.83,56.38,52.76,58.6,56.89,55.84,46.76,46.81,55.03,54.41,65.29,57.38,58.04,46.94,44.17,57.64,59.2,57.95,57.52,55.75,50.51,43.98,56.87,53.26,51.61,52.84,51.07,48.02,41.42,52.26,51.91,46.59,51.57,50.46,48.39,46.26,53.17,52.48,52.34,54.7,52.77,48.57,44.67,51.38,54.72,54.07,50.24,53.69,47.45,42.87,52.41,53.77,56.94,56.27,56.49,49.95,43.33,42.17,51.27,48.54,51.16,50.6,48.88,44.71,54.21,53.69,52.47,53.67
"594","city","Minneapolis","walking","","Minnesota","United States",100,106.28,106.04,111.91,102.66,115.3,91.1,116.09,133.3,134.12,130.39,157.16,179.7,104.33,111.69,112,110.96,118.15,152.66,189.2,106.55,107.11,115.54,120.94,125.02,148.98,169.42,91.52,105.1,120.02,117.07,122.79,175.68,207.19,117.08,113.9,113.67,113.05,121.95,172.65,193.35,118.98,115.89,125.32,123.68,135.14,174.09,195.65,129.46,124.27,141.74,124.66,135.47,180.29,208.93,142.17,111.45,120.32,130.93,116.34,129.71,133.25,82.28,79.62,85.64,72.2,61.77,76.3,66.53,56.01,67.82,67.54,59.12,81.87,90.65,47.73,45.52,87.74,85.25,74.52,69.9,60.4,77.68,78.9,71.74,91.53,71.92,63.04,86.16,91.44,36.59,58,57.29,64.65,73.55,87.82,102.36,79.42,75.02,76.06,100.28,90.89,101.84,108.64,84.5,101.71,69.63,93.57,109.56,112.28,120.01,100.12,97.87,96.7,106.31,104.29,110.17,96.13,69.41,NA,NA,101.7,127.61,156.67,115.53,79.25,128.33,145.65,153.12,138.3,156.6,126.48,119.27,118.61,138.98,167.13,194.73,183.79,177.74,161.73,158.07,152.26,169.5,168.72,200.84,160.94,142.83,164.6,151.84,166.59,192.05,198.94,183.62,150.38,166.03,180.3,182.19,162.52,210.72,188.34,128.58,167.76,186.56,191.79,197.24,210.89,195.14,146.5,156.09,186.91,182.06,180.75,165.45,143.63,125.04,159.52,177.15,178.53,181.82,217.06,188.88,164.83,176.17,166.63,191.62,192.96,202.96,181.35,164.89,175.64,176.67,201.16,197.91,208.99,183.28,150.87,180.49,185.85,190.35,201.92,215.71,198.73,161.17,179.58,189.8,186.96,193.91,209.74,195.89,153.76,180.42,198.43,168.14,192.94,203.16,214.54,167.59,181.41,185.89,186.69,187.12,214.59,196.57,160.75,169.36,177.39,187.67,178.89,201.41,205.74,159.28,177.39,187.92,199.05,200.31,214.16,207.4,171.19,137.76,163.71,158.62,184.22,205.25,209.23,159.21,169.19,174.34,183.03,182.6
"2123","county","Anoka County","driving","","Minnesota","United States",100,100.44,91.4,95.79,85.5,85.89,75.65,93.65,93.06,92.39,98.73,112.59,111.14,79.5,87.12,89.02,89.58,92.78,109.06,108.24,73.95,84.98,88.44,89.92,95.42,108.04,110.82,75.8,91.16,92.99,92.71,93.56,115.55,117.38,89.56,100.37,110.93,95.16,99.42,115.8,115.09,84.27,91.89,96.25,95.64,101.5,117.14,115.36,85.49,94.84,103.36,95.5,100.44,116.47,118.51,85.2,90.9,96.12,94.89,92.5,98.74,86.77,62.87,70.83,67.25,60.1,59.01,65.59,53.62,42.3,56.6,57.16,54.9,62.17,66.05,38.49,33.74,53.14,54.31,55.34,53.82,56.42,55.03,46.72,57.58,64.09,58.65,59.7,69.69,62.75,31.11,57.01,58,65.59,67.26,78.42,73.65,59.72,67.52,69.63,75.84,75.8,82.65,78.82,61.88,75.91,68.15,79.97,86.99,95.29,86.82,70.25,83.28,84.27,88.85,88.26,99.8,85.97,66.81,NA,NA,92.17,100.65,118.57,93.19,72.25,104.38,112.44,112.37,117.16,129.68,99.57,84.05,88.14,107.42,120.11,123.12,123.8,108.58,92.99,122.11,114.21,126.23,127.75,144.23,121.24,106.32,132.08,123.38,128.27,136.08,154.43,129.99,109.61,128.21,133.3,137.68,131.79,154.06,132.04,100.82,133.06,138.69,145.04,148.97,160.64,142.29,114.97,133.42,141.33,145.02,151.38,127.98,96.01,100.67,126.95,139.13,142.34,143.02,160.7,144.33,123.13,140.03,135.97,149.79,152.99,165.6,145.35,126.26,142.64,142.44,150.88,157.65,167.83,149.88,119.55,141.96,142.5,148.46,154.32,165.76,151.48,123.14,144.04,149.38,149.09,155.71,164.78,147.62,119.96,141.15,146.68,139.09,153.09,163.73,155.25,127.69,142.43,146.18,145.28,150.27,165.29,145.81,121.21,133.87,137.69,142.01,143.49,158.28,141.42,115.85,131.93,139.09,140.56,144.86,156.91,126.16,106.49,105.65,129.25,132.62,141.09,158.53,150.02,117.69,126.27,132.21,132.44,135.3
"2124","county","Anoka County","walking","","Minnesota","United States",100,111.15,104.13,104.31,100.92,103.27,94.45,119.1,96.73,96.36,105.24,125.82,152.93,89.65,101.48,100.8,101.36,101.73,122.06,146.33,101.29,109.74,105.61,98.95,106.28,119.1,135.06,87.43,97.84,102.65,111.46,102.96,153.79,156.19,114.11,118.73,116.45,107.64,108.56,134.81,157.55,108.69,107.7,112.82,113.56,119.96,135.37,160.26,112.01,121.63,135.61,109.61,124.21,152,177.33,118.3,110.23,122.12,109.55,121.26,132.78,119.59,91,103.51,118.92,92.3,81.21,102.71,92.17,75.23,94.64,87.37,79.11,109,115.96,70.36,62.29,119.1,103.64,101.54,98.21,81.45,101.97,98.77,100.37,128.1,104.31,92.61,109.06,113,55.45,86.88,83.12,88.6,89.53,118.18,123.78,87.43,95.69,108.13,131.92,130.38,133.95,130.01,105.67,128.16,101.36,141.34,150.71,157.36,160.44,132.84,131.12,137.15,139.68,135,150.96,126.43,100.49,130.38,109.49,150.59,186.69,210.23,145.41,114.29,170.73,186.57,202.71,192.79,208.01,169.25,163.34,151.39,181.89,216.76,211.09,207.02,187.55,162.48,194.45,197.84,227.66,226.37,221.2,199.14,191,225.82,193.96,211.71,226.74,267.47,241.84,182.07,211.95,235.24,244.79,215.53,259.27,218.55,170.92,222.06,238.76,257.49,260.14,266.05,238.14,185.95,217.13,256.75,238.26,233.33,210.91,164.51,158.47,204.68,237.28,227.23,234.63,274.37,247.13,215.22,233.46,226.37,248,234.63,249.23,238.32,206.84,233.33,240.48,247.32,254.22,277.88,237.89,207.95,239.49,239.43,236.6,230.01,252.8,248.86,205.11,246.33,225.82,223.6,250.89,250.34,227.79,183.43,239.49,243.93,217.81,249.41,248.12,245.9,200.55,227.85,227.05,234.94,224.65,248.86,218.73,192.91,202.28,214.23,230.68,216.02,243.5,241.28,207.15,236.54,226.43,233.27,239.68,246.09,225.94,189.09,171.6,189.96,218.05,240.6,256.01,237.71,202.83,208.75,211.21,211.65,219.35
"2200","county","Becker County","driving","","Minnesota","United States",100,87.06,76.77,100.1,82.57,56.59,97.85,99.35,88.41,97.4,107.34,148.1,169.23,109.99,89.81,100.05,82.27,107.29,160.04,171.13,101.45,88.71,102.6,105.89,101.75,142.31,161.64,119.68,95.45,107.59,72.53,119.78,149.45,190.76,130.82,121.53,99.25,95.8,124.03,146.45,188.31,118.83,93.06,96.3,99.85,106.39,148.35,180.77,111.84,102.85,107.14,96.65,117.98,151.75,170.53,105.99,98.3,97.25,96.4,107.04,124.18,125.42,74.53,81.87,79.57,73.18,70.13,88.51,69.33,56.14,67.88,63.49,81.82,73.43,77.12,55.94,46.8,69.38,67.98,67.78,50.5,54.95,68.98,56.94,70.18,69.23,76.02,77.62,92.66,81.07,44.66,78.72,69.58,81.47,85.46,101.4,102.85,85.71,83.22,79.57,104.15,93.86,133.22,130.77,121.58,100.95,101.75,114.69,129.32,187.61,182.52,118.73,118.33,131.97,137.76,130.37,178.07,139.76,115.28,NA,NA,125.37,155.09,233.62,218.93,186.11,181.07,164.84,182.62,198.75,284.77,327.87,261.84,236.21,188.66,217.08,221.43,276.72,275.47,230.22,221.38,216.28,212.64,248.7,354.15,390.56,237.16,220.13,189.96,212.94,256.19,377.77,441.26,319.53,241.86,256.29,272.13,240.16,390.91,410.29,328.57,258.14,259.64,254.35,308.49,446.45,581.67,391.91,266.78,283.87,326.22,463.04,622.58,611.54,538.16,312.09,302.15,297,331.47,418.53,480.37,395.6,255.49,256.49,291.21,307.79,431.02,525.47,422.88,255.64,265.38,273.33,307.79,431.07,470.08,434.22,290.96,278.82,284.17,303.4,436.21,490.06,360.54,283.87,261.94,286.21,320.18,420.78,479.72,333.27,277.02,269.73,272.63,302.95,358.89,476.07,370.88,252.7,243.11,268.43,296.05,392.76,442.21,309.44,232.47,227.72,223.68,257.09,335.31,371.28,257.59,210.69,204.3,227.77,250.5,358.29,399.9,369.68,283.62,200.9,201.3,219.43,298.45,276.67,187.56,211.29,197.15,185.81,208.54
"2211","county","Beltrami County","driving","","Minnesota","United States",100,91.62,87.95,115.88,128.49,98.23,117.39,101.99,97.6,92.57,113.09,151.96,140.39,107.18,94.85,91.08,85.33,104.08,144.72,139.91,101.14,91.33,85.33,93.3,103.92,136.75,116.45,94.91,92.69,94.31,89.91,100,146.9,134.22,116.57,114.36,113.76,100.95,107.46,148.96,133.02,104.27,93.01,91.59,107.12,117.74,159.93,164.86,113.6,90.29,95.19,104.36,115.12,124.95,107.02,87.82,93.04,88.11,92.73,94.05,94.66,97.34,76.19,74.23,70.24,72.61,77.67,77.96,67.74,58.76,68.25,65.18,62.97,65.05,67.3,46.27,42.57,54.46,56.67,57.69,61.13,53.76,52.37,50.19,64.45,61.07,59.11,54.24,60.09,55.85,37.22,52.97,64.83,67.9,67.81,80.14,69.83,55.47,75.55,69.45,82.95,77.04,89.63,83.24,71.82,79.16,88.43,94.62,98.2,120.52,101.33,74.48,102.37,104.46,109.04,104.11,134.25,113.03,94.62,NA,NA,113.79,122.58,151.71,123.75,112.11,133.4,127.01,146.02,149.94,166.64,150.57,134.6,135.64,142.16,152.44,146.05,173.88,141.56,121.73,154.81,156.26,157.84,175.74,193.9,186.72,139.56,164.9,143.83,170.49,194.59,222.39,214.86,164.77,168.22,175.21,186.69,176.5,232.26,209.65,166.26,188.77,201.87,182.99,207.53,259.96,249.53,190.67,200.95,197.38,214.07,241.49,257.81,207.87,217.17,205.12,202.25,214.71,227.32,249.46,243.01,193.11,184,188.96,183.55,204.11,229.51,228.37,190.73,185.33,196.3,187.76,214.74,253.48,235.36,203.7,200.28,201.3,199.21,209.11,257.4,244.94,198.99,197.88,197.34,192.5,219.73,236.02,231.18,190.01,208.67,193.23,197.19,201.49,226.22,224.76,201.9,194.47,188.11,200.66,224.38,263,239.82,194.56,183.18,190.2,189.06,205.09,240.29,214.74,177.99,168.03,169.73,186.97,197.98,262.33,243.96,209.11,179.1,169.8,166.19,191.24,213.25,194.56,155.44,174.32,160.03,180.87,205.47
"2214","county","Benton County","driving","","Minnesota","United States",100,102.85,90.19,109.56,101.71,81.74,94.43,116.22,100.19,98.64,104.84,135.89,134.61,133.9,95.68,100.81,101.2,108.04,144.44,142.87,104.59,97.96,101.44,101.52,112.99,134.45,146.78,119.59,104.48,103.94,101.2,110.21,157.65,138.82,111.82,113.15,115.02,108.91,121.43,154.6,151.64,124.45,104.51,109.32,111.19,119.45,156.07,185.68,142.41,113.12,121.71,110.27,120.13,160.96,153.36,104.54,108.75,107.04,106.85,107.28,124.56,113.26,83.05,90.41,86.34,74.93,79.11,98.29,74.71,62.54,75.03,70.31,69.38,79.35,90.03,52.51,46.59,65.66,66.88,69.08,66.86,77.59,68.13,60.42,73.49,78.89,78.59,74.57,97.61,85,49.61,81.09,82.69,88.48,94,114.64,106.57,78.78,90.9,94.81,99.43,100.49,120.67,103.34,91.69,104.7,94.68,103.88,117.03,135.97,114.21,103.83,108.01,105.05,114.94,124.15,154.6,118.2,98.32,NA,NA,124.91,135.26,179.95,136.1,120.97,147.46,145.31,151.81,174.74,218.09,150.18,134.75,169.17,163.57,171.18,170.36,193.37,158.98,150.07,166.18,155.12,164.06,178.86,220.67,170.63,172.91,173.81,158.84,176.31,188.59,223.5,191.66,189.05,182.5,184.38,188.83,181.66,253.25,212.82,196.98,188.54,186.8,206.79,216.87,256.13,227.09,209.32,175.96,192.72,202.25,255.15,227.25,143.25,286.96,209.51,184.3,191.44,210.95,255.99,220.62,216.65,198.4,185.63,191.42,210.87,261.07,218.96,235.26,182.15,187.23,188.59,218.09,248.68,215.62,206.66,190.82,198.18,198.97,207.47,252.27,225.26,218.85,192.45,195.19,194.46,214.18,239.88,228.23,229.2,190.63,187.04,191.36,217.77,250.94,225.48,220.86,195.6,187.37,196.82,215.27,261.75,221.19,202.28,185.41,184.79,185.6,202.47,239.39,204.65,196.31,180.01,173.54,188.83,204.32,308.01,183.18,172.75,246.7,173.51,166.61,179.79,221.54,196.09,160.74,170.25,163.68,174,185.9
"2252","county","Blue Earth County","driving","","Minnesota","United States",100,107.44,93.79,113.23,77.6,71.44,87.74,99.84,97.62,95.71,112.04,136.2,146.29,98.81,96.39,96.32,104.55,109.43,132.48,145.67,94.26,93.91,100.35,103,111.21,134.79,154.35,85.86,98.21,109.81,93.89,103.09,152.77,155.61,110.63,104.66,101.32,104.09,118.39,149.42,156.37,108.88,106.84,105.92,108.67,116.28,165.58,147.51,111.74,101.94,113.75,109.01,124.31,146.96,132.95,89.72,96.55,92.21,90.19,87.52,105.75,95.73,73.7,83.16,78.06,70.5,64.59,75.49,60.9,51.47,64.78,62.36,60.68,66.85,74.01,42.59,42.16,62.54,61.48,61.42,59.7,62.63,57.01,53.12,61.57,70.03,61.99,65.74,78.39,65.27,30.11,56.14,62.69,72.16,71.13,84.31,84.51,66.2,77.64,75.3,85.67,81.31,90.66,84.4,71.02,85.17,76.7,85.35,95.27,110.43,94.62,81.45,90.74,86.67,96.99,98.11,113.95,100.81,73.86,NA,NA,98.18,118.32,129.56,113.24,89.37,119.96,123.42,130,120.8,141.09,120.64,99.41,102.34,118.46,125.66,139.06,150.13,117.9,108,141.48,126.7,146.86,141.28,161,138.65,119.53,145.79,131.6,136.72,151.01,171.35,154.09,126.69,150.14,154.64,148.45,150.27,175.34,154.04,114.41,151.01,158.56,164.29,163.82,189.82,182.11,134.19,147.66,159.6,161.64,172.19,187.68,149.37,138.62,150.75,161.24,161.22,157.53,186.32,165.81,139.21,157.24,151.32,167.09,182.21,186.58,179.66,143.76,161.05,156.88,159.12,163.2,185.66,175.43,139.49,158.66,161.67,166.53,166.07,196.19,250.98,178.34,181.73,188.08,182.89,190.86,222.42,211.25,166.56,186.15,190.27,181.37,198.99,203.67,216.52,178.09,220.07,204.52,215.01,255.55,283.12,272.62,212.11,208.46,210.99,211.62,225.95,252.07,254.86,180.02,189.25,196.91,192.2,218.27,236.22,212.45,166.38,152.44,177.3,173.73,195.44,245.68,241.58,168.76,173,181.72,184.73,190.12
"2310","county","Brown County","driving","","Minnesota","United States",100,109.43,97.16,117.44,57.11,47.16,75.9,111.9,106.51,103.74,106.21,145.06,158.38,98.28,104.27,107.26,108.46,116.02,166.92,180.31,92.14,95.13,93.79,110.63,124.85,142.14,191.99,95.51,101.42,116.54,86.23,114.67,149.1,198.5,117.44,118.34,111,132.78,131.14,151.72,173.65,110.48,117.14,112.65,119.84,132.78,139.97,152.4,121.56,109.13,113.55,107.63,137.72,156.29,175.67,114.82,115.12,119.54,117.59,117.59,120.73,105.46,77.47,78.97,76.8,73.88,67.89,77.17,74.78,60.18,68.56,61.45,61.83,83.61,75.15,44.01,43.04,56.36,67.89,62.05,71.78,70.96,75.22,58.53,74.4,84.88,85.03,69.09,90.64,67.22,37.2,70.88,81.06,73.5,82.56,106.89,92.59,75,97.01,101.12,99.63,108.31,108.16,101.2,79.34,100.82,96.63,91.17,109.06,125.82,107.71,98.28,106.81,106.51,103.22,110.85,129.04,109.66,95.81,NA,NA,124.93,131.66,152.4,123.2,99.55,121.18,134.73,145.66,160.1,165.64,146.26,133.23,126.95,142.07,167.29,151.95,168.79,160.03,140.12,147.6,158.01,159.06,162.35,203.22,201.42,143.41,161.38,150.15,161.9,217.22,206.96,187.8,154.42,177.4,184.21,169.09,178.22,208.98,200.82,162.5,170.51,198.95,190.42,208.31,233.76,215.42,179.19,163.02,191.39,193.86,201.42,179.64,160.55,160.93,185.48,193.41,186,202.77,233.01,245.43,180.39,207.49,206.44,206.59,214.22,245.06,230.61,182.41,209.88,182.04,187.28,202.54,261.15,203.67,182.11,184.66,196.78,207.78,207.34,218.34,222.01,175.82,176.42,184.36,205.69,216.54,242.14,250.07,183.91,191.47,197.75,208.23,208.16,225.22,218.79,178.89,186.9,185.63,183.61,218.19,271.48,257.41,221.78,156.29,185.85,168.64,202.99,232.11,282.93,194.69,167.14,170.73,161.53,196.18,236.15,244.39,178.97,158.38,159.66,155.61,195.96,202.4,190.87,157.04,159.51,178.14,180.99,170.73
