geo_type,region,transportation_type,alternative_name,sub-region,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
city,Wichita,driving,NA,Kansas,United States,100,104.78,105.49,105.77,118.36,128.72,83.16,103.75,100.1,91.29,101.35,131.01,132.34,79.17,98.81,87.72,98.23,106.63,127.65,132.21,81.16,96.04,97.28,96.03,103.94,122.31,130.6,87.05,100.05,106.3,92.61,109.43,140.06,150.57,101.82,111.93,112.09,106.73,113.77,134.8,144.28,88.78,102.56,103.18,111.04,124.41,151,157.6,98.34,108.32,114.9,113.55,123.42,151.86,156.76,102.95,108,114.7,124.26,123.85,132.29,113.07,77.26,92.62,88.85,85.9,87.03,88.95,77.44,52.57,74.31,75.08,67.59,69.89,77.63,64.46,50.91,66.91,70.02,71.06,70.34,74.47,61.86,49.61,68.84,72.59,75.12,76.45,86.67,75.11,41.39,70.56,73.09,84.12,81.88,89.2,85.58,65.46,88.86,89.85,79.57,95.32,95.99,94.17,71.31,92.94,94.55,96.82,102.06,118.65,102.51,80.45,101.13,115.06,109.68,101.89,129.19,121.47,82.66,NA,NA,108.86,122.35,134.58,124.47,98.73,131,137.68,137.95,134.99,158.55,144.12,106.15,97.54,135.84,142.44,145.75,168.71,160.54,116.8,145.07,142.32,143.03,154.6,174.27,161.77,119.3,146.31,147.73,151.77,157.07,182.98,175.83,127.12,150.08,155.74,153.72,164.92,178.78,183.24,117.24,152.18,159.25,161.11,175.67,205.34,201.18,137.29,152.89,155.56,163.31,171.56,165.27,125.4,112.65,150.66,155.66,155.95,160.99,182.89,173.17,124.12,147.69,152.39,155.85,160.31,183.63,169.62,122.84,146.11,151.98,154.71,159.98,178.96,177.73,128.88,146.7,153.11,153.79,160.59,198.93,188.79,130.9,156.61,162.47,158.06,166.32,183.3,176.19,128.84,152.85,159.2,157.62,167.42,187.24,177.34,126.69,147.96,151.08,152.62,161.8,181.69,172.44,125.61,144.21,145.46,148.85,154.79,177.85,166.85,119.5,137.56,146.89,149.2,158.78,183.95,163.26,124.4,115.38,138.26,133.51,144.94,170.55,173.59,121.53,139.27,144.49,146.08,151.69,176.48,175.98,117.68,131.49,132.87,139.55,144.54,171.25,172.84,109.96,128.33,132.32,133.38,139.26,164.08,161.03
city,Wichita,walking,NA,Kansas,United States,100,115.79,118.87,114.7,137.05,166.58,96.29,116.17,103.47,95.06,105.09,187.5,157.47,90.31,103.32,89.66,96.26,109.22,143.88,162.91,99.5,94.13,91.78,102.12,111.12,140.83,161.95,92.47,107.33,100.81,95.21,107.41,154.11,217.68,117.29,123.62,109.65,111,110.69,153.42,182.09,101.04,106.79,107.37,110.23,133.08,188.58,203.9,111.89,125.36,126.24,131.07,134.35,178.08,204.44,112.04,111.08,119.41,152.22,142.26,142.72,141.84,81.71,96.26,101.08,98.53,106.29,99.65,94.13,61.44,90.16,88.54,89.12,86.18,93.44,78.19,71.21,78.31,92.4,94.64,83.17,81.09,75.65,69.12,82.63,91.97,100.77,94.56,112.7,99.65,48.94,78.35,80.74,99.11,95.99,90,104.13,82.44,104.09,106.6,82.21,114.82,109.69,109.8,90.74,100.12,115.44,112.66,116.13,145.43,128.29,106.72,128.56,137.4,129.72,105.21,151.22,142.42,101.2,NA,NA,125.94,176.34,172.21,152.3,141.14,163.49,183.25,180.01,160.17,193.79,175.38,143.38,114.51,159.48,184.91,184.91,212.04,215.36,161.06,183.1,169.16,178.35,182.17,210.69,232.57,141.3,191.55,183.29,191.08,188.27,238.32,238.94,148.44,176.53,175.8,186.22,202.32,225.16,254.84,140.14,187.69,203.94,211.23,227.17,263.95,244.46,147.32,178.39,189.73,194.37,203.47,204.59,163.1,141.99,185.06,200.23,222.19,194.09,227.52,220.69,156.39,184.25,192.82,206.64,201.27,231.15,216.33,145.08,177.42,190.51,190.08,214.63,223.27,230.88,144.19,184.45,191.55,194.91,206.6,246.01,235.35,159.09,193.94,193.05,184.87,196.02,232.15,224.24,157.66,192.71,202.47,202.16,230.07,233.81,221.38,154.19,189.97,197.57,200.15,210.54,263.68,217.25,160.4,177.04,180.2,178.04,182.01,227.13,202.39,161.56,165.57,183.29,177.65,193.36,232.19,212.43,160.63,138.17,156.08,153.69,169.82,212.81,235.89,159.51,174.6,169.2,202.43,193.55,234.7,229.02,144.19,156.23,166.07,172.67,198.22,232.96,249.56,147.39,160.79,180.16,178.04,185.53,232.38,210.34
county,Atchison County,driving,NA,Kansas,United States,100,126.16,111.88,109.16,85.73,122.28,91.67,102.06,112.79,81.44,98.93,100.17,113.04,89.36,100.83,105.28,94.88,112.13,138.94,145.87,85.81,94.47,104.46,96.45,109.49,133.5,145.96,119.14,94.14,109.24,83.42,100,147.94,136.06,107.76,117.33,116.42,113.78,114.44,146.7,155.12,110.48,95.13,108.17,115.1,116.17,141.01,158,121.37,105.78,123.6,121.2,123.84,159.98,129.21,91.25,102.89,109.08,90.68,98.51,95.96,93.48,73.76,85.15,72.94,72.52,77.56,75.33,74.67,49.5,65.02,62.79,70.21,78.71,62.87,79.87,59.82,59.24,66.25,75.91,76.98,73.18,70.96,57.26,67.49,66.58,71.62,80.45,80.36,76.24,33,71.62,79.29,82.51,76.16,83.58,92.33,72.61,114.36,98.6,77.72,95.63,83,81.02,96.37,84.08,79.87,73.43,97.77,106.85,90.84,79.7,80.61,92.57,92.49,86.47,109.32,105.69,94.47,NA,NA,93.15,97.69,122.69,122.44,107.76,108.58,101.49,101.32,116.67,120.96,148.68,94.39,83.91,102.15,118.98,108.75,113.61,111.3,93.73,97.28,107.34,107.59,121.95,137.62,139.77,107.34,105.03,119.06,120.05,126.24,137.46,138.78,101.73,118.73,117.57,118.65,105.2,134.98,144.88,118.23,122.52,133.99,133.5,127.39,147.52,135.89,104.62,110.31,125,122.44,135.23,140.84,108.17,122.94,115.35,125.99,130.69,132.76,153.22,145.87,126.32,121.45,136.8,131.85,127.39,159.82,147.77,111.06,140.92,132.84,133.91,136.14,154.7,151.24,104.37,139.52,124.09,125.33,122.85,156.68,153.55,118.56,123.43,136.39,125.74,141.67,157.26,171.37,130.53,130.94,156.11,135.31,140.59,213.37,242.33,165.92,169.88,153.71,163.61,160.31,197.77,202.97,133.09,150.17,149.17,156.44,162.95,174.92,187.62,136.96,144.39,147.36,132.76,154.54,191.25,207.26,147.77,132.43,126.4,128.3,125.33,178.96,205.28,122.19,132.34,123.51,136.14,139.52,186.88,230.69,128.22,141.75,119.8,140.02,156.44,179.87,230.86,130.28,128.55,124.83,149.34,148.43,182.26,210.89
county,Barton County,driving,NA,Kansas,United States,100,91.26,96.35,83.51,61.85,90.67,60.61,87.96,82.38,70.24,89.93,99.75,101.18,72.7,78.58,66.44,85.88,99.06,96.69,92.94,63.08,73,71.42,76.26,87.22,95.61,93.34,75.96,90.52,105.82,87.41,87.96,104.24,103.06,72.11,93.53,89.29,94.92,87.81,109.43,100.54,75.37,83.07,80.8,94.77,98.72,103.36,92.69,73.54,98.52,100.74,96.64,102.76,119.74,110.71,103.7,110.56,102.91,105.92,99.01,101.97,97.53,72.95,85.19,82.08,82.72,85.64,79.71,68.02,60.27,69.3,65.4,67.52,72.26,73.2,51.58,54.49,57.21,60.46,65.5,55.63,66.83,50.49,35.49,55.28,62.49,65.75,56.07,61.5,57.16,32.92,63.52,64.26,67.03,66.44,71.82,64.17,54.99,69.05,66.88,61.11,76.51,74.83,69.35,61.35,82.58,70.73,82.03,80.55,91.91,78.73,61.06,88.2,82.77,85,90.82,109.33,80.6,62.14,NA,NA,83.46,103.11,95.26,91.41,74.53,101.09,93.98,101.78,117.62,135,104.49,87.22,78.97,105.97,118.95,122.31,119.6,119.45,99.31,100.64,108.69,119.74,130.9,138.3,131.93,100,116.29,116.83,116.24,124.48,147.33,191.02,148.86,101.88,112.24,121.72,132.77,140.97,121.52,103.8,126.9,130.01,132.18,153.46,223.05,178.58,125.42,130.75,132.18,138.7,148.37,146.59,95.11,112.49,137.51,139.44,146.79,134.95,194.42,160.71,116.19,123.4,132.18,130.16,132.08,173.35,165.6,107.5,122.85,115.2,125.81,139.83,138.2,129.76,116.04,118.07,121.96,133.27,119.4,148.57,130.11,106.52,126.55,135.44,117.03,132.72,168.26,164.41,125.62,140.38,137.22,151.28,136.28,162.88,152.12,116.88,117.92,133.42,121.92,134.01,140.77,139.88,100.69,111.8,110.71,107.65,126.31,143.24,124.73,83.96,106.12,110.66,129.17,164.17,186.67,135.04,107.55,110.41,100.99,106.42,119.69,195.36,172.75,117.42,115.25,127.25,139.78,141.71,164.81,146.99,102.22,114.91,126.21,117.13,126.36,139.39,134.16,112.14,104.99,111.55,95.16,116.29,123.94,139.83
county,Bourbon County,driving,NA,Kansas,United States,100,106.7,93.2,110,107.38,130,84.95,105.24,96.5,83.2,106.7,106.7,116.41,86.41,92.82,100,86.7,103.5,130,137.96,94.37,103.59,111.75,72.23,106.41,138.35,163.88,106.99,96.02,106.21,87.28,105.15,141.36,138.83,107.38,119.61,109.81,101.84,117.09,140.87,126.31,108.16,100,99.81,116.7,108.16,147.09,164.95,116.02,94.76,107.57,118.93,125.34,165.63,162.82,125.92,105.83,114.66,126.31,135.24,205.44,159.71,118.45,91.65,96.41,79.13,66.8,92.14,85.24,54.37,67.67,60.1,65.34,66.5,65.05,60,54.76,60.29,62.33,69.61,61.94,56.99,63.98,55.83,65.83,72.72,66.31,73.01,80.58,55.73,45.15,63.2,75.73,83.79,78.83,98.54,91.94,67.38,74.56,85.44,69.03,81.94,91.17,92.72,91.65,80.97,86.41,100.19,94.27,115.15,119.42,96.12,72.52,112.04,99.71,100.97,121.07,112.33,94.66,NA,NA,96.12,116.7,116.02,123.4,116.8,124.37,124.27,127.38,137.09,180.97,202.04,183.88,147.48,113.79,128.64,121.94,176.99,158.74,146.6,123.2,120.78,154.08,210.87,239.71,217.67,184.85,129.22,140.29,145.63,164.66,256.99,237.86,147.67,115.15,133.5,144.76,153.98,179.42,188.16,139.9,139.22,133.01,142.23,162.82,193.59,160.39,165.15,148.64,138.74,148.64,179.71,177.28,141.46,177.48,191.65,152.91,145.15,201.65,269.03,225.92,177.09,147.09,161.94,157.96,181.36,187.18,207.86,161.36,157.09,134.27,147.09,164.56,186.99,195.15,157.86,150.58,153.11,165.34,160,192.43,198.64,176.02,162.52,149.71,159.22,186.8,226.21,236.89,193.69,181.07,164.85,158.83,181.36,214.47,233.69,179.42,151.07,157.96,148.93,160.58,209.22,236.99,180.39,137.86,129.9,136.12,162.33,212.52,193.88,168.16,130.97,144.76,136.5,158.93,236.6,215.34,189.9,188.93,139.9,129.61,150.68,199.42,187.67,167.86,137.57,138.83,138.93,164.66,189.81,198.64,157.77,150.97,147.18,138.16,162.43,215.34,180.87,157.28,138.25,126.6,135.92,161.84,191.36,225.92
county,Butler County,driving,NA,Kansas,United States,100,103.06,97.58,108.42,115.41,133.07,95.23,113.05,103.55,85.99,109.74,127.16,134.35,86.68,99.72,88.32,95.42,105.31,129.46,138.96,85.8,99.37,99.77,93.83,107.62,136.32,140.41,99.32,102.42,101.28,85.71,109.88,144.22,153.11,115.46,117.3,105.48,102.44,105.12,139.89,145.73,98.26,104.74,100.89,105.85,128.14,155.11,167.23,118.22,115.58,113.45,121.68,132.08,163.2,166.67,119.87,110.38,115.89,129.95,137.09,140.53,121.51,102.95,92.96,93.13,95.66,89.38,92.83,92.5,64.2,76.11,73.6,75.33,74.62,87.72,74.11,62.2,65.85,72.49,71.05,70,68.51,65.01,53.56,72.2,75.13,83.61,84.01,95.42,83.77,48.7,79.79,80.85,88.06,90.71,96.57,97.3,77.3,96.33,100.83,85.3,98.35,102.44,111.19,94.83,103.69,101.81,101.85,117.71,145.98,143.3,113.16,106.54,115.52,121.19,103.46,142.94,140.63,98.15,NA,NA,108.1,130.8,142.48,139.18,129.47,138.14,144.96,149.65,146.78,185.82,184.79,133.54,120.83,138.61,139.73,142.79,178.61,186.31,149.64,146.84,139.78,143.56,163.93,189.77,200.57,149.73,151.03,144.19,152.58,161.41,209.4,196.31,156.87,155.69,156.84,160.96,168.09,187.29,210.21,146.46,159.84,164.96,171.98,187.42,231.75,224.35,181.14,154.74,162.09,173.03,202.48,202.52,169.2,164.51,170.37,160.02,164.14,165.82,200.69,200.69,165.31,153.76,155.78,157.21,163.48,204.43,198.7,163.03,148.46,144.56,150.24,173.08,196,198.13,161.89,147.99,142.34,149.21,157.01,220.44,222.76,170.19,162.44,157.04,164.85,176.33,208.05,202.81,170.65,180.42,168.4,173.48,175.87,206.34,198.38,159.44,155.1,152.37,153.7,163.76,197.22,196.13,152,144.18,144.48,149.42,157.86,197.72,184.31,143.22,139.65,148.56,149.95,174.05,231.48,188.78,155.16,164.26,144.48,131.25,150.64,182.56,180.33,139.04,148.25,149.7,144.11,169.13,191.62,189.26,143.42,138.61,132.53,134.36,153.83,191.76,193.64,124.55,136.85,134.66,135.12,155.24,189.96,188.86
county,Cherokee County,driving,NA,Kansas,United States,100,96.36,103.12,114.28,101.04,128.92,84.98,106.02,105.58,78.14,92.57,115.99,115.84,83.49,95.76,99.78,89.22,99.18,119.18,121.19,87.96,97.4,91,51.38,83.87,106.17,125.06,85.06,101.12,99.03,81.04,105.13,136.13,134.87,104.39,118.66,111.52,112.49,114.13,134.8,131.38,88.62,93.61,110.56,103.87,105.35,130.41,154.13,106.39,110.33,93.83,102.9,111.67,142.16,148.55,108.77,102.75,108.03,129.96,118.81,144.46,119.63,91.45,94.28,86.91,84.83,73.75,88.48,65.06,53.83,63.35,65.35,71.75,80.45,76.95,68.18,54.28,63.79,64.16,76.51,72.27,66.77,63.12,58.81,69.96,64.54,72.04,77.03,76.51,69.74,47.29,80.82,72.12,75.99,77.32,89.44,81.86,66.69,85.58,87.66,74.72,92.71,98.44,88.85,74.94,93.38,86.47,90.71,94.2,117.25,97.4,75.17,86.39,107.36,110.93,102.01,133.16,125.95,85.35,NA,NA,103.64,122.45,123.2,139.85,107.73,124.98,126.47,136.65,146.69,171.15,169.22,119.63,133.46,136.28,144.24,158.51,178.22,153.01,126.77,135.54,128.77,141.56,161.04,200.52,198.36,153.31,169.96,144.54,140.37,164.61,228.62,191.9,151.15,138.36,152.86,163.05,169.59,202.23,181.86,136.58,151.82,154.2,148.48,199.41,216.43,181.78,158.88,147.96,148.85,160.59,186.84,185.8,129,154.2,162.38,150.86,164.76,170.33,201.93,179.63,147.81,154.57,158.44,157.7,162.6,213.01,196.8,146.77,172.94,150.93,171.9,168.4,229.74,182.75,151.23,148.33,145.2,178.88,177.99,199.26,192.27,159.18,166.1,156.73,161.19,174.13,206.1,183.05,149,151.38,149.81,161.12,165.58,215.32,200.52,152.57,167.43,150.19,141.56,159.41,191.38,171.82,126.39,153.46,142.23,140.97,148.7,171.38,145.5,133.68,132.79,134.13,133.98,150.26,206.91,192.94,143.64,159.93,137.03,148.1,146.62,179.48,173.9,124.61,128.55,120.22,132.86,158.88,170.93,198.81,124.61,135.24,137.32,127.66,153.61,173.16,178.88,138.22,130.48,126.62,146.32,182.01,221.04,184.91
county,Cowley County,driving,NA,Kansas,United States,100,104.49,99.24,106.73,113.05,121.46,80.22,99.64,90.83,80.63,104.33,112.95,122.88,77.01,104.94,81.8,86.75,109.48,128.34,125.03,77.62,88.43,98.93,98.57,102.8,122.12,126.61,82.57,92.25,98.47,94.8,110.86,138.48,124.21,96.99,112.59,102.45,112.79,101.07,144.65,135.78,76.91,105.56,94.34,108,122.78,148.37,163.05,110.4,108,121.56,107.03,110.14,147.35,145.92,101.07,108.46,122.83,114.68,114.48,125.03,105.81,83.94,92.81,88.89,85.47,86.49,93.99,81.6,60.45,75.48,74.67,85.42,76.71,90.06,76.76,72.63,65.29,71.3,76.04,83.54,78.95,66,48.17,87.72,77.83,94.09,89.35,94.85,92.71,49.34,74.87,74.21,87.67,96.33,108,94.29,86.65,99.08,104.54,74.87,110.81,111.01,137.16,106.63,105.91,93.27,98.11,128.95,157.8,171.76,127.52,100.46,106.93,115.6,105.2,132.98,141.85,99.64,NA,NA,108.92,134.1,147.25,127.78,124.26,144.14,132.62,133.18,140.11,172.02,182.52,116.46,117.58,132.21,127.37,136.75,186.29,167.48,121,131.4,139.91,142.76,151.43,186.8,177.22,125.69,135.32,132.93,134.96,145.92,182.36,196.23,130.07,136.29,139.76,137.72,145.36,160.75,185.78,133.74,143.68,148.67,148.01,155.5,193.02,186.29,137.87,147.09,156.01,154.79,159.94,159.53,141.34,129.46,142.66,149.69,156.68,156.01,183.89,160.65,146.02,131.04,150.56,148.78,155.96,172.94,163.86,131.7,137.26,142.41,170.64,160.7,207.8,203.92,158.36,136.75,156.47,145.21,153.98,187.67,173.75,162.39,166.06,172.58,181.6,191.9,205.91,210.35,153.57,147.86,168.04,164.17,154.23,190.11,217.69,151.73,155.1,154.69,157.34,168.5,202.14,217.79,133.38,147.04,148.88,158.87,169.52,178.13,188.48,142.71,133.13,149.95,131.96,167.23,200.71,206.57,148.32,144.6,143.99,139.96,151.78,186.7,195.72,141.54,140.42,155.4,152.75,169.32,203.01,200.71,143.83,131.19,132.62,129.56,148.73,207.34,204.23,120.9,122.83,125.13,124.87,153.36,182.01,186.6
county,Crawford County,driving,NA,Kansas,United States,100,108.36,103.83,118.13,110.26,170.51,104.43,112.33,115.16,98.07,115.76,137.25,151.28,100.53,107.83,102.73,98.93,123.06,142.99,181.54,93.1,106.16,107.16,73.14,103.3,144.49,135.39,108.2,111.86,114.56,108.53,118.93,183.74,186.04,115.53,123.79,120.56,116.23,133.52,165.24,164.68,113.23,112.23,119.53,126.42,127.29,163.38,216.63,134.92,114.63,134.99,126.16,138.25,167.64,147.52,115.46,119.59,127.06,127.06,138.99,151.98,132.39,95.6,96.3,93.34,88.1,83.07,92.34,78.04,53.15,72.21,71.01,77.17,78.27,90.7,61.05,53.75,71.68,77.84,73.78,78.87,79.71,67.44,64.18,81.64,80.94,82.14,89.3,87,69.88,49.92,71.74,81.01,93.5,95.1,97.3,94.04,69.38,101.7,101.67,86.34,108.26,109.33,101.67,81.31,96.57,92.84,103.17,113,130.19,122.83,90.5,102.77,115.03,118.19,117.49,138.85,124.33,92.94,NA,NA,123.39,133.02,149.92,150.48,116.36,147.35,140.02,143.89,158.61,188.24,156.95,120.59,115.73,143.89,139.85,155.65,182.87,178.77,134.66,151.68,140.39,155.38,175.01,226.52,216.59,147.38,155.71,159.48,169.44,174.08,208.43,192.2,149.48,168.11,164.15,164.75,199.6,218.43,184.11,137.72,162.08,164.35,159.75,179.64,239.55,186.54,154.88,149.38,146.55,165.44,188.17,179.21,124.99,143.22,159.78,164.18,154.82,162.95,198.4,177.94,143.35,158.28,170.91,174.74,179.17,203.5,187.8,151.52,169.08,150.58,171.84,187.54,220.73,198.5,151.38,146.95,161.25,158.91,171.24,213.83,205.5,154.05,175.14,179.91,178.01,177.04,202.9,195.33,152.38,185.87,171.01,174.64,187.47,262.85,264.45,196.37,209.3,182.74,182.71,197.73,255.25,221.13,158.41,158.11,157.65,166.78,187.24,221.29,191.77,153.55,155.41,167.71,161.95,189.37,230.52,179.37,143.32,165.88,157.41,159.41,165.98,227.59,217.73,155.95,151.95,176.77,162.48,184.47,203.5,215.99,156.85,155.18,147.95,160.65,174.61,203.53,198.07,139.25,142.32,149.58,136.45,155.71,171.61,182.31
county,Dickinson County,driving,NA,Kansas,United States,100,114.88,101.54,137.24,114.47,159.67,103.17,124.96,115.77,86.59,95.53,138.94,136.34,112.68,108.21,92.36,94.39,123.5,138.94,138.7,85.77,101.22,95.61,90.08,115.85,126.91,141.95,99.27,103.82,103.58,88.37,109.27,155.2,130.33,115.77,130.98,112.2,107.97,108.21,142.85,138.94,119.51,112.36,109.84,115.04,136.5,153.41,162.11,125.61,114.39,115.93,119.02,155.85,181.46,177.48,129.35,122.36,122.03,149.35,141.63,178.29,160.41,139.11,131.38,116.02,100.08,109.59,115.61,110.08,83.41,91.06,86.5,77.56,87.4,84.96,76.1,67.15,68.7,79.92,73.33,74.39,67.97,80.33,66.59,72.85,85.69,79.02,89.43,94.31,83.58,48.46,79.76,76.1,94.31,81.87,92.93,103.58,81.63,92.76,95.37,92.11,104.47,111.63,112.6,96.5,89.67,101.79,114.88,117.8,130.65,115.61,111.14,118.05,109.35,140.41,115.53,165.77,149.19,107.89,NA,NA,120.65,143.41,178.62,153.33,142.6,155.77,164.63,156.59,163.58,200.81,212.68,164.72,148.46,151.95,169.76,171.14,196.91,201.38,172.03,166.75,165.28,181.38,198.54,213.74,203.41,171.63,166.42,160.57,176.18,208.37,255.85,255.2,192.2,173.33,187.48,194.47,199.43,241.3,246.26,189.84,185.04,186.99,180.89,231.87,250.89,253.09,215.93,207.56,212.28,215.2,262.2,237.15,182.11,226.91,219.19,201.71,199.19,220.57,265.28,253.25,206.5,195.04,189.11,225.85,220.81,242.68,283.33,218.7,195.93,200.08,192.85,228.37,262.2,260.98,223.25,199.67,179.35,196.75,204.88,277.72,284.47,227.8,222.93,203.33,214.63,241.06,263.58,263.5,224.96,204.96,201.46,222.6,227.64,279.19,250.33,220.33,193.33,163.66,193.82,219.19,229.67,228.37,189.02,155.45,160.49,163.09,171.06,207.97,211.63,173.66,150.98,153.74,163.5,221.63,358.78,261.22,192.93,239.35,185.28,151.3,188.62,204.72,213.9,166.59,165.45,166.1,185.77,179.51,225.45,220.57,188.29,155.85,152.03,153.17,176.91,211.46,211.06,162.52,153.33,145.93,153.33,182.85,210.33,195.28
